category,storage_type,shelf_life_days,days_remaining_at_purchase,days_until_expiry,risk_level
0,2,4,4,2,Low
5,1,9,7,4,Medium
0,2,2,2,0,Medium
7,1,4,3,3,High
1,1,10,9,8,Low
4,0,330,298,297,Medium
0,2,6,6,5,Low
8,0,6,4,3,High
3,1,6,4,4,High
6,1,3,3,3,High
6,1,5,5,4,Medium
7,1,4,3,0,High
4,0,110,107,107,Medium
6,1,16,15,12,High
4,0,61,49,47,High
2,1,6,4,2,High
6,1,5,4,2,High
6,1,10,8,7,Low
5,0,4,4,4,Low
5,1,5,4,1,High
0,2,6,4,2,Medium
8,1,6,4,4,Medium
2,1,12,12,9,Low
8,1,3,2,0,High
4,0,115,91,89,Medium
3,1,6,6,4,Medium
0,2,5,4,4,High
0,2,5,4,2,High
4,0,82,60,57,Medium
6,1,13,9,6,Medium
4,0,211,141,138,Low
8,0,5,5,2,Medium
3,1,13,12,11,Medium
8,0,6,4,1,High
6,1,9,8,5,Medium
5,1,6,4,2,Low
2,1,29,23,21,Medium
2,1,19,18,16,Low
1,1,20,14,13,Medium
1,1,27,23,21,Medium
5,1,7,6,6,Medium
8,0,5,4,2,Medium
4,0,70,52,52,Medium
4,0,172,141,138,Medium
4,0,125,86,83,Low
2,1,9,6,4,High
3,1,7,6,6,Medium
3,1,13,13,12,Medium
7,1,4,4,4,Medium
8,0,3,2,1,High
4,0,98,83,80,High
7,1,4,3,1,Medium
1,1,27,20,17,Low
0,2,5,4,2,Medium
5,1,10,7,5,High
6,1,13,11,8,Medium
5,1,10,9,8,High
2,1,17,12,10,Medium
6,1,8,8,7,Medium
8,0,6,5,4,Low
2,1,20,17,17,Medium
1,0,19,16,14,Low
7,1,1,0,0,High
4,0,361,307,306,Medium
5,1,6,5,3,Medium
8,1,7,5,4,Medium
1,1,15,10,8,High
8,0,2,2,1,Low
0,2,7,6,5,Low
1,1,20,15,13,Medium
7,1,3,3,0,High
0,2,7,6,4,Low
5,1,9,6,3,High
5,1,4,3,1,Medium
2,1,24,17,15,Low
8,0,5,5,2,Medium
1,1,15,12,10,Medium
6,1,5,4,4,Medium
2,1,23,16,14,Medium
3,1,9,6,3,Medium
7,1,4,4,3,High
8,1,4,3,3,High
0,2,5,5,3,Medium
2,1,14,12,9,Medium
8,0,6,5,3,Medium
1,1,28,28,26,High
3,1,9,7,6,High
5,0,8,6,3,Medium
0,2,7,7,5,Low
6,1,10,9,8,Medium
8,1,7,7,7,High
5,1,5,5,4,Medium
0,2,5,4,4,High
8,0,7,5,3,Medium
0,2,4,3,2,Medium
6,1,20,18,17,Low
0,2,3,3,0,Medium
1,1,8,6,5,High
3,1,11,9,7,Medium
1,1,27,18,16,Medium
7,1,2,2,0,High
2,1,9,7,6,Medium
3,1,3,3,2,Low
5,1,4,3,3,Medium
1,1,26,24,24,High
3,1,7,6,3,High
5,1,7,6,5,High
4,0,126,91,89,Low
5,0,9,9,9,Low
6,1,10,10,8,Low
6,1,20,20,18,High
0,2,3,3,3,Low
5,1,9,6,3,Medium
7,1,2,2,0,Low
4,0,272,238,238,High
7,1,3,3,2,Low
0,2,4,3,1,High
8,0,3,2,1,High
1,1,25,19,19,Low
4,0,295,207,206,Low
7,1,4,3,3,High
8,1,4,4,4,Medium
8,0,5,4,1,High
3,1,10,7,7,High
5,1,9,6,3,Medium
1,1,17,13,11,Low
3,1,13,12,11,Low
3,1,11,8,8,Medium
7,1,5,5,5,Medium
8,1,4,3,3,High
3,1,5,5,2,Low
8,0,3,2,0,Low
7,1,2,2,2,Medium
7,1,4,3,3,Medium
2,1,22,21,19,High
8,1,3,2,0,High
2,1,21,16,13,Medium
3,1,8,8,6,Medium
8,1,5,5,2,Medium
7,1,3,3,3,Medium
7,1,4,4,4,Low
4,0,183,147,145,High
5,1,3,2,1,High
2,1,16,15,15,High
8,0,4,4,2,Low
8,0,2,1,0,High
0,2,5,4,2,Low
3,1,9,6,5,High
1,1,15,15,13,Low
8,1,2,2,1,Low
8,1,5,5,3,High
2,1,17,15,15,Low
1,1,14,12,12,Medium
1,1,9,8,6,High
5,1,10,7,4,High
6,2,18,17,14,High
1,1,17,12,9,Medium
8,0,7,7,6,Medium
8,0,2,1,0,High
8,1,4,3,2,High
7,1,1,0,0,High
8,1,3,2,1,Medium
7,1,5,4,1,Low
7,1,5,4,2,High
0,2,5,4,1,High
1,1,26,24,22,Low
8,1,6,6,6,Low
8,0,5,4,3,High
3,1,10,7,7,Medium
1,1,10,7,5,Medium
2,1,22,19,16,Low
3,1,6,4,1,High
3,1,5,5,2,Low
0,2,6,4,2,Medium
3,1,12,10,9,High
7,1,5,4,4,High
4,0,184,182,180,Medium
8,0,5,4,1,Medium
3,1,9,7,6,High
0,2,3,2,2,High
0,2,7,6,3,Medium
0,2,7,5,4,High
8,1,7,7,6,Medium
6,2,20,15,14,High
6,1,10,9,6,Low
8,1,5,4,4,Medium
2,1,23,20,18,High
8,1,5,5,4,Low
7,1,4,3,2,High
3,1,13,11,8,Low
7,1,2,1,0,High
8,1,3,3,3,High
3,1,3,2,0,High
1,1,28,20,18,Low
0,2,3,3,2,Medium
4,0,171,123,121,Medium
8,1,5,5,3,High
0,2,4,4,1,High
5,0,10,10,9,High
4,0,253,205,205,High
8,0,3,3,0,High
5,1,9,9,8,High
7,1,2,2,2,Medium
2,1,12,8,8,High
6,1,19,18,17,Medium
8,0,6,5,2,High
6,1,7,6,5,High
8,1,3,2,0,Medium
7,1,2,1,0,Medium
6,1,10,9,8,Low
1,1,16,14,11,High
1,1,17,14,13,Low
0,2,7,6,4,Low
6,1,13,11,9,Low
1,1,12,11,10,Medium
2,1,26,26,25,Medium
5,1,6,4,1,Low
7,1,1,1,0,Low
0,2,6,4,2,Low
5,1,6,4,4,High
5,1,6,4,4,High
2,1,17,13,10,High
1,1,25,24,22,Low
7,1,1,0,0,High
3,1,5,4,1,High
4,0,131,126,125,Low
5,1,9,7,6,Medium
3,1,5,4,3,High
5,1,5,4,3,Medium
1,0,10,9,9,High
4,0,241,171,169,Low
2,1,29,28,27,Low
4,0,307,207,205,Low
1,1,21,20,20,Medium
7,1,4,3,1,Low
6,1,15,13,10,Low
4,0,246,232,232,Low
1,1,14,12,12,Low
1,1,19,15,14,Medium
4,0,114,114,111,Medium
7,1,4,3,2,High
8,0,2,1,0,High
3,1,6,4,2,Medium
1,1,8,6,4,Medium
8,1,3,3,1,Low
4,0,281,231,228,Medium
4,0,165,148,147,Medium
8,0,5,5,2,High
4,0,118,96,94,Low
0,2,7,7,5,High
8,0,6,6,3,Low
8,1,4,4,2,Medium
3,1,6,5,4,Low
4,0,102,101,99,Low
0,2,6,4,4,Medium
0,2,6,6,6,Low
6,1,17,15,15,Low
6,1,14,10,10,Low
6,1,14,10,7,High
0,2,6,4,1,High
2,1,9,8,8,Medium
4,0,197,144,144,High
5,1,8,7,5,Low
5,1,8,8,6,Medium
1,1,17,13,11,Medium
2,1,30,23,20,Medium
2,1,9,7,4,High
3,1,3,2,1,High
5,1,6,5,4,High
2,1,8,7,4,Medium
5,1,7,7,7,Medium
4,0,171,166,163,Medium
3,1,6,5,3,High
7,1,1,0,0,Medium
0,2,5,4,1,High
2,1,17,13,12,Low
5,1,3,2,0,High
8,1,2,2,0,Low
5,1,6,6,4,Low
7,1,2,2,2,Medium
3,1,5,4,4,Low
2,1,13,9,9,Low
1,1,8,7,4,High
7,1,2,2,0,Low
8,0,6,4,4,High
3,1,12,10,8,Medium
3,1,7,5,4,Medium
6,2,7,7,7,Medium
2,1,17,12,10,Medium
4,0,203,192,191,Low
3,1,12,12,10,High
7,1,2,2,2,Low
3,1,6,6,3,Medium
5,1,8,7,5,Low
0,2,2,2,1,High
6,1,7,7,7,Medium
0,2,2,1,1,Medium
5,0,4,4,1,Medium
5,1,4,4,1,High
5,1,4,4,3,High
4,0,278,256,253,Low
8,0,6,6,3,Medium
2,1,9,6,5,Medium
2,1,16,13,11,Low
4,0,223,195,195,Medium
3,1,4,4,3,High
2,1,30,24,24,Medium
3,1,14,12,9,High
1,1,22,22,22,Low
1,1,13,12,10,Low
2,1,27,25,25,Low
3,1,12,12,9,Low
4,0,149,104,102,Medium
8,1,4,4,4,Medium
7,1,3,3,2,Low
5,1,5,5,4,Low
5,0,3,3,1,Low
4,0,339,291,288,Low
6,1,4,3,2,Medium
8,1,6,6,6,Low
2,1,24,18,16,High
4,0,195,159,157,Medium
1,1,7,6,5,High
6,1,8,6,5,Low
4,0,195,184,182,Low
3,1,7,6,6,High
8,0,2,2,1,Medium
7,1,4,3,2,Low
5,1,5,5,3,High
6,1,5,4,4,Medium
5,0,9,7,4,Medium
7,1,1,0,0,High
5,1,7,5,2,Low
7,1,3,2,1,High
4,0,85,62,59,Medium
0,2,7,5,5,High
3,1,12,12,9,Medium
1,1,8,6,6,Medium
6,2,19,16,16,High
7,1,5,4,4,High
5,0,3,3,1,High
6,1,19,19,17,Medium
7,0,5,4,1,High
1,1,16,11,9,High
3,1,12,10,8,High
3,1,14,12,9,High
7,1,2,2,0,Low
4,0,358,268,268,Medium
