category,storage_type,days_since_purchase,spoilage_sensitivity_cat,category_median_shelf_life,est_remaining_days,est_life_used_ratio,risk_level
0,2,2,0.5,4.0,2.0,0.5,Low
5,1,5,0.9,6.0,1.0,0.8333333333333334,Medium
0,2,2,0.5,4.0,2.0,0.5,Medium
7,1,1,0.9,3.0,2.0,0.3333333333333333,High
1,1,2,0.4,18.0,16.0,0.1111111111111111,Low
4,0,33,0.3,212.0,179.0,0.15566037735849056,Medium
0,2,1,0.5,4.0,3.0,0.25,Low
8,0,3,0.95,5.0,2.0,0.6,High
3,1,2,0.75,9.0,7.0,0.2222222222222222,High
6,1,0,0.6,12.0,12.0,0.0,High
6,1,1,0.6,12.0,11.0,0.08333333333333333,Medium
7,1,4,0.9,3.0,-1.0,1.3333333333333333,High
4,0,3,0.3,212.0,209.0,0.014150943396226415,Medium
6,1,4,0.6,12.0,8.0,0.3333333333333333,High
4,0,14,0.3,212.0,198.0,0.0660377358490566,High
2,1,4,0.7,17.0,13.0,0.23529411764705882,High
6,1,3,0.6,12.0,9.0,0.25,High
6,1,3,0.6,12.0,9.0,0.25,Low
5,0,0,0.9,6.0,6.0,0.0,Low
5,1,4,0.9,6.0,2.0,0.6666666666666666,High
0,2,4,0.5,4.0,0.0,1.0,Medium
8,1,2,0.95,5.0,3.0,0.4,Medium
2,1,3,0.7,17.0,14.0,0.17647058823529413,Low
8,1,3,0.95,5.0,2.0,0.6,High
4,0,26,0.3,212.0,186.0,0.12264150943396226,Medium
3,1,2,0.75,9.0,7.0,0.2222222222222222,Medium
0,2,1,0.5,4.0,3.0,0.25,High
0,2,3,0.5,4.0,1.0,0.75,High
4,0,25,0.3,212.0,187.0,0.1179245283018868,Medium
6,1,7,0.6,12.0,5.0,0.5833333333333334,Medium
4,0,73,0.3,212.0,139.0,0.3443396226415094,Low
8,0,3,0.95,5.0,2.0,0.6,Medium
3,1,2,0.75,9.0,7.0,0.2222222222222222,Medium
8,0,5,0.95,5.0,0.0,1.0,High
6,1,4,0.6,12.0,8.0,0.3333333333333333,Medium
5,1,4,0.9,6.0,2.0,0.6666666666666666,Low
2,1,8,0.7,17.0,9.0,0.47058823529411764,Medium
2,1,3,0.7,17.0,14.0,0.17647058823529413,Low
1,1,7,0.4,18.0,11.0,0.3888888888888889,Medium
1,1,6,0.4,18.0,12.0,0.3333333333333333,Medium
5,1,1,0.9,6.0,5.0,0.16666666666666666,Medium
8,0,3,0.95,5.0,2.0,0.6,Medium
4,0,18,0.3,212.0,194.0,0.08490566037735849,Medium
4,0,34,0.3,212.0,178.0,0.16037735849056603,Medium
4,0,42,0.3,212.0,170.0,0.19811320754716982,Low
2,1,5,0.7,17.0,12.0,0.29411764705882354,High
3,1,1,0.75,9.0,8.0,0.1111111111111111,Medium
3,1,1,0.75,9.0,8.0,0.1111111111111111,Medium
7,1,0,0.9,3.0,3.0,0.0,Medium
8,0,2,0.95,5.0,3.0,0.4,High
4,0,18,0.3,212.0,194.0,0.08490566037735849,High
7,1,3,0.9,3.0,0.0,1.0,Medium
1,1,10,0.4,18.0,8.0,0.5555555555555556,Low
0,2,3,0.5,4.0,1.0,0.75,Medium
5,1,5,0.9,6.0,1.0,0.8333333333333334,High
6,1,5,0.6,12.0,7.0,0.4166666666666667,Medium
5,1,2,0.9,6.0,4.0,0.3333333333333333,High
2,1,7,0.7,17.0,10.0,0.4117647058823529,Medium
6,1,1,0.6,12.0,11.0,0.08333333333333333,Medium
8,0,2,0.95,5.0,3.0,0.4,Low
2,1,3,0.7,17.0,14.0,0.17647058823529413,Medium
1,0,5,0.4,18.0,13.0,0.2777777777777778,Low
7,1,1,0.9,3.0,2.0,0.3333333333333333,High
4,0,55,0.3,212.0,157.0,0.25943396226415094,Medium
5,1,3,0.9,6.0,3.0,0.5,Medium
8,1,3,0.95,5.0,2.0,0.6,Medium
1,1,7,0.4,18.0,11.0,0.3888888888888889,High
8,0,1,0.95,5.0,4.0,0.2,Low
0,2,2,0.5,4.0,2.0,0.5,Low
1,1,7,0.4,18.0,11.0,0.3888888888888889,Medium
7,1,3,0.9,3.0,0.0,1.0,High
0,2,3,0.5,4.0,1.0,0.75,Low
5,1,6,0.9,6.0,0.0,1.0,High
5,1,3,0.9,6.0,3.0,0.5,Medium
2,1,9,0.7,17.0,8.0,0.5294117647058824,Low
8,0,3,0.95,5.0,2.0,0.6,Medium
1,1,5,0.4,18.0,13.0,0.2777777777777778,Medium
6,1,1,0.6,12.0,11.0,0.08333333333333333,Medium
2,1,9,0.7,17.0,8.0,0.5294117647058824,Medium
3,1,6,0.75,9.0,3.0,0.6666666666666666,Medium
7,1,1,0.9,3.0,2.0,0.3333333333333333,High
8,1,1,0.95,5.0,4.0,0.2,High
0,2,2,0.5,4.0,2.0,0.5,Medium
2,1,5,0.7,17.0,12.0,0.29411764705882354,Medium
8,0,3,0.95,5.0,2.0,0.6,Medium
1,1,2,0.4,18.0,16.0,0.1111111111111111,High
3,1,3,0.75,9.0,6.0,0.3333333333333333,High
5,0,5,0.9,6.0,1.0,0.8333333333333334,Medium
0,2,2,0.5,4.0,2.0,0.5,Low
6,1,2,0.6,12.0,10.0,0.16666666666666666,Medium
8,1,0,0.95,5.0,5.0,0.0,High
5,1,1,0.9,6.0,5.0,0.16666666666666666,Medium
0,2,1,0.5,4.0,3.0,0.25,High
8,0,4,0.95,5.0,1.0,0.8,Medium
0,2,2,0.5,4.0,2.0,0.5,Medium
6,1,3,0.6,12.0,9.0,0.25,Low
0,2,3,0.5,4.0,1.0,0.75,Medium
1,1,3,0.4,18.0,15.0,0.16666666666666666,High
3,1,4,0.75,9.0,5.0,0.4444444444444444,Medium
1,1,11,0.4,18.0,7.0,0.6111111111111112,Medium
7,1,2,0.9,3.0,1.0,0.6666666666666666,High
2,1,3,0.7,17.0,14.0,0.17647058823529413,Medium
3,1,1,0.75,9.0,8.0,0.1111111111111111,Low
5,1,1,0.9,6.0,5.0,0.16666666666666666,Medium
1,1,2,0.4,18.0,16.0,0.1111111111111111,High
3,1,4,0.75,9.0,5.0,0.4444444444444444,High
5,1,2,0.9,6.0,4.0,0.3333333333333333,High
4,0,37,0.3,212.0,175.0,0.17452830188679244,Low
5,0,0,0.9,6.0,6.0,0.0,Low
6,1,2,0.6,12.0,10.0,0.16666666666666666,Low
6,1,2,0.6,12.0,10.0,0.16666666666666666,High
0,2,0,0.5,4.0,4.0,0.0,Low
5,1,6,0.9,6.0,0.0,1.0,Medium
7,1,2,0.9,3.0,1.0,0.6666666666666666,Low
4,0,34,0.3,212.0,178.0,0.16037735849056603,High
7,1,1,0.9,3.0,2.0,0.3333333333333333,Low
0,2,3,0.5,4.0,1.0,0.75,High
8,0,2,0.95,5.0,3.0,0.4,High
1,1,6,0.4,18.0,12.0,0.3333333333333333,Low
4,0,89,0.3,212.0,123.0,0.419811320754717,Low
7,1,1,0.9,3.0,2.0,0.3333333333333333,High
8,1,0,0.95,5.0,5.0,0.0,Medium
8,0,4,0.95,5.0,1.0,0.8,High
3,1,3,0.75,9.0,6.0,0.3333333333333333,High
5,1,6,0.9,6.0,0.0,1.0,Medium
1,1,6,0.4,18.0,12.0,0.3333333333333333,Low
3,1,2,0.75,9.0,7.0,0.2222222222222222,Low
3,1,3,0.75,9.0,6.0,0.3333333333333333,Medium
7,1,0,0.9,3.0,3.0,0.0,Medium
8,1,1,0.95,5.0,4.0,0.2,High
3,1,3,0.75,9.0,6.0,0.3333333333333333,Low
8,0,3,0.95,5.0,2.0,0.6,Low
7,1,0,0.9,3.0,3.0,0.0,Medium
7,1,1,0.9,3.0,2.0,0.3333333333333333,Medium
2,1,3,0.7,17.0,14.0,0.17647058823529413,High
8,1,3,0.95,5.0,2.0,0.6,High
2,1,8,0.7,17.0,9.0,0.47058823529411764,Medium
3,1,2,0.75,9.0,7.0,0.2222222222222222,Medium
8,1,3,0.95,5.0,2.0,0.6,Medium
7,1,0,0.9,3.0,3.0,0.0,Medium
7,1,0,0.9,3.0,3.0,0.0,Low
4,0,38,0.3,212.0,174.0,0.1792452830188679,High
5,1,2,0.9,6.0,4.0,0.3333333333333333,High
2,1,1,0.7,17.0,16.0,0.058823529411764705,High
8,0,2,0.95,5.0,3.0,0.4,Low
8,0,2,0.95,5.0,3.0,0.4,High
0,2,3,0.5,4.0,1.0,0.75,Low
3,1,4,0.75,9.0,5.0,0.4444444444444444,High
1,1,2,0.4,18.0,16.0,0.1111111111111111,Low
8,1,1,0.95,5.0,4.0,0.2,Low
8,1,2,0.95,5.0,3.0,0.4,High
2,1,2,0.7,17.0,15.0,0.11764705882352941,Low
1,1,2,0.4,18.0,16.0,0.1111111111111111,Medium
1,1,3,0.4,18.0,15.0,0.16666666666666666,High
5,1,6,0.9,6.0,0.0,1.0,High
6,2,4,0.6,12.0,8.0,0.3333333333333333,High
1,1,8,0.4,18.0,10.0,0.4444444444444444,Medium
8,0,1,0.95,5.0,4.0,0.2,Medium
8,0,2,0.95,5.0,3.0,0.4,High
8,1,2,0.95,5.0,3.0,0.4,High
7,1,1,0.9,3.0,2.0,0.3333333333333333,High
8,1,2,0.95,5.0,3.0,0.4,Medium
7,1,4,0.9,3.0,-1.0,1.3333333333333333,Low
7,1,3,0.9,3.0,0.0,1.0,High
0,2,4,0.5,4.0,0.0,1.0,High
1,1,4,0.4,18.0,14.0,0.2222222222222222,Low
